,p_org_id,PersonNm,NAME,EIN,ntee_cat,TitleTxt,IndividualTrusteeOrDirectorInd,OfficerInd
779,36375,ADAM CLIFFORD,YOUNG MENS CHRISTIAN ASSOCIATION CORTLAND,150533570,(P) Human Services,BOARD MEMBER/PRESIDENT,X,X
771,76383,ADAM CLIFFORD,YMCA OF CORTLAND PROPERTIES INC,463376307,(P) Human Services,PRESIDENT,na,na
28,44725,ADAM MCCRACKEN,CIVIL SERVICE EMPLOYEES ASSOCIATION,161613155,no_NTEE,ICO,,
243,38548,ADELE FETTERLY,CORTLAND COUNTY BOARD REALTORS INC,160987063,no_NTEE,TREASURER,na,na
797,36391,ADRIANNE TRAUB,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
76,60464,ALEX DUELL,BROCKWAY TRUCK PRESERVATION ASSOCIATION,261329102,"(A) Arts, Culture & Humanities",Trustee,na,na
170,38505,ALEXANDER VOITOVICH,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
789,36391,ALICE ANDERSON,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
737,42886,ALICE STARMER,THE GREAT CORTLAND PUMPKINFEST INC,161506254,(N) Recreation & Sports,VICE PRESIDENT,X,X
321,42170,ALICE STARMER,CORTLAND COUNTY CONVENTION & VISITORS BUREAU INC,161454737,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
148,40572,ALICIA BENJAMIN,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,MEMBER,X,na
532,75520,ALICIA WHEATON,FRIENDS OF THE CORTLAND COUNTY CHILD ADVOCACY CENTER INC,462277341,(F) Mental Health & Crisis Intervention,TREASURER,na,na
39,29419,ALLAN PAVLICK,AUTOMOTIVE LIFT INSTITUTE INC,136162018,no_NTEE,Director,X,na
53,36518,ALLISON HALL,AUXILIARY SERVICES CORPORATION OF SUNY CORTLAND,150548524,(B) Education,DIRECTOR,X,na
212,38618,ALYSSA LABELLE,CORTLAND COLLEGE STUDENT ASSOCIATION,160998593,(B) Education,DIRECTOR OF PUBLIC RELATIONS,X,X
502,42213,AMANDA FUNK,FAMILY CONNECTION,161458794,(P) Human Services,BOARD MEMBER,X,na
457,38651,AMANDA HOPKO,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,YOUTH MEMBER,X,na
387,39395,AMBER GIAMEI,CORTLAND HOUSING ASSISTANCE COUNCIL INC,161130177,(L) Housing & Shelter,Member,X,na
667,56342,AMEDEO GRECO,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,VICE PRESIDENT (PART YEAR),X,X
454,38651,AMY BERTINI,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,GUILD CO-PRES,X,X
710,44509,AMY BUGGS,SEVEN VALLEYS HEALTH COALITION INC,161600893,(E) Health Care,BOARD MEMBER,X,na
96,38633,AMY DERITO -TREASURER,GREEK PEAK SKI CLUB INC,161000951,(N) Recreation & Sports,ICO,,
261,42239,AMY KREMENEK,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,DIRECTOR,X,na
266,35991,AMY THOMAS,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,DIRECTOR,X,na
155,79913,AMY WINTERS CPA,WARRIORS OF THE CROSS,472550038,(W) Public & Societal Benefit,ICO,,
359,54486,ANDREA PIEDIGROSSI,CORTLAND COUNTY YOUTH SOCCER ASSOCIATION INC,223320358,no_NTEE,DIRECTOR OF REC,na,na
